short_name,long_name,overall,potential,age,player_positions,pace,shooting,defending
Cristiano Ronaldo,Cristiano Ronaldo,92,94,18,GK,84,84,69
Lionel Messi,Lionel Messi,93,95,19,ST,67,79,52
Neymar Jr,Neymar Jr,88,95,20,GK,84,88,61
Kylian Mbappé,Kylian Mbappé,83,94,21,CM,70,92,51
Kevin De Bruyne,Kevin De Bruyne,92,95,22,CM,93,76,46
Mohamed Salah,Mohamed Salah,89,92,23,CB,68,67,47
Robert Lewandowski,Robert Lewandowski,93,93,24,CM,77,75,78
Sergio Ramos,Sergio Ramos,92,91,25,CM,63,76,67
Virgil van Dijk,Virgil van Dijk,88,93,26,CM,88,81,62
Luka Modric,Luka Modric,90,90,27,CM,77,82,55
Toni Kroos,Toni Kroos,91,92,28,CB,89,72,57
Eden Hazard,Eden Hazard,91,93,29,CM,83,91,56
Luis Suárez,Luis Suárez,91,92,30,ST,83,62,65
Manuel Neuer,Manuel Neuer,91,90,31,CM,68,65,68
Harry Kane,Harry Kane,89,92,32,CM,61,63,70
Paulo Dybala,Paulo Dybala,90,92,33,ST,68,66,71
Giorgio Chiellini,Giorgio Chiellini,83,85,34,CM,87,63,74
Karim Benzema,Karim Benzema,88,92,35,RW,70,92,79
Antoine Griezmann,Antoine Griezmann,89,93,36,LW,73,81,61
Marc-André ter Stegen,Marc-André ter Stegen,88,90,37,CM,87,74,81
Player_2019_0,Player 2019 0,82,82,18,LW,87,57,61
Player_2019_1,Player 2019 1,61,66,21,LW,55,78,46
Player_2019_2,Player 2019 2,78,78,34,RW,53,78,58
Player_2019_3,Player 2019 3,49,56,34,CB,70,60,38
Player_2019_4,Player 2019 4,64,65,18,LW,46,53,62
Player_2019_5,Player 2019 5,73,76,32,LW,73,80,48
Player_2019_6,Player 2019 6,65,67,22,GK,62,71,31
Player_2019_7,Player 2019 7,69,77,23,CM,59,78,72
Player_2019_8,Player 2019 8,70,75,31,CB,54,84,45
Player_2019_9,Player 2019 9,76,79,33,GK,80,54,59
Player_2019_10,Player 2019 10,60,61,24,CB,41,60,54
Player_2019_11,Player 2019 11,77,84,19,RW,46,52,53
Player_2019_12,Player 2019 12,55,57,27,CM,72,53,48
Player_2019_13,Player 2019 13,67,68,19,LW,88,86,47
Player_2019_14,Player 2019 14,71,71,27,CB,71,63,32
Player_2019_15,Player 2019 15,59,65,27,CM,64,88,30
Player_2019_16,Player 2019 16,68,75,24,LW,70,80,62
Player_2019_17,Player 2019 17,56,65,19,CM,87,69,44
Player_2019_18,Player 2019 18,64,68,20,GK,82,59,59
Player_2019_19,Player 2019 19,73,74,25,RW,81,80,64
Player_2019_20,Player 2019 20,80,80,27,RW,68,72,71
Player_2019_21,Player 2019 21,73,77,29,ST,69,83,57
Player_2019_22,Player 2019 22,60,64,30,CB,63,81,78
Player_2019_23,Player 2019 23,51,54,18,CM,64,65,60
Player_2019_24,Player 2019 24,67,68,32,GK,57,80,43
Player_2019_25,Player 2019 25,52,61,27,CB,40,86,54
Player_2019_26,Player 2019 26,68,77,24,LW,42,57,59
Player_2019_27,Player 2019 27,46,50,22,ST,59,49,59
Player_2019_28,Player 2019 28,73,73,28,ST,67,54,55
Player_2019_29,Player 2019 29,81,83,32,RW,84,44,68
Player_2019_30,Player 2019 30,68,69,33,CB,74,48,39
Player_2019_31,Player 2019 31,61,66,25,CB,72,62,67
Player_2019_32,Player 2019 32,81,90,31,LW,51,75,52
Player_2019_33,Player 2019 33,49,49,23,ST,78,61,36
Player_2019_34,Player 2019 34,75,75,20,LW,80,63,56
Player_2019_35,Player 2019 35,64,67,19,LW,45,82,47
Player_2019_36,Player 2019 36,76,82,31,CM,52,78,61
Player_2019_37,Player 2019 37,64,67,33,CB,41,54,77
Player_2019_38,Player 2019 38,77,78,18,CM,61,76,40
Player_2019_39,Player 2019 39,72,75,31,RW,40,89,46
Player_2019_40,Player 2019 40,81,89,19,CM,56,40,54
Player_2019_41,Player 2019 41,78,80,29,GK,46,70,61
Player_2019_42,Player 2019 42,76,81,27,LW,61,65,58
Player_2019_43,Player 2019 43,49,56,34,CM,42,73,35
Player_2019_44,Player 2019 44,52,58,34,CM,55,42,38
Player_2019_45,Player 2019 45,82,86,34,GK,70,85,32
Player_2019_46,Player 2019 46,79,84,26,CB,70,81,41
Player_2019_47,Player 2019 47,68,74,32,ST,47,54,72
Player_2019_48,Player 2019 48,69,72,30,GK,71,83,68
Player_2019_49,Player 2019 49,60,65,34,LW,89,53,77
Player_2019_50,Player 2019 50,60,66,34,CM,81,61,34
Player_2019_51,Player 2019 51,67,69,28,RW,86,82,81
Player_2019_52,Player 2019 52,66,72,33,LW,85,78,65
Player_2019_53,Player 2019 53,82,83,32,RW,69,67,55
Player_2019_54,Player 2019 54,58,59,18,GK,56,51,64
Player_2019_55,Player 2019 55,63,63,25,GK,61,76,38
Player_2019_56,Player 2019 56,47,51,31,LW,62,61,72
Player_2019_57,Player 2019 57,54,60,25,ST,67,68,37
Player_2019_58,Player 2019 58,51,58,20,LW,70,70,35
Player_2019_59,Player 2019 59,70,78,22,RW,80,57,44
Player_2019_60,Player 2019 60,84,86,25,CM,76,64,33
Player_2019_61,Player 2019 61,55,56,33,LW,46,89,31
Player_2019_62,Player 2019 62,54,61,29,LW,79,75,56
