short_name,long_name,overall,potential,age,player_positions,pace,shooting,defending
Cristiano Ronaldo,Cristiano Ronaldo,95,95,18,CB,69,81,68
Lionel Messi,Lionel Messi,93,95,19,CM,71,71,65
Neymar Jr,Neymar Jr,87,95,20,CM,77,60,66
Kylian Mbappé,Kylian Mbappé,81,95,21,GK,82,92,80
Kevin De Bruyne,Kevin De Bruyne,90,94,22,RW,77,73,58
Mohamed Salah,Mohamed Salah,85,91,23,GK,65,91,46
Robert Lewandowski,Robert Lewandowski,94,93,24,CM,75,70,62
Sergio Ramos,Sergio Ramos,92,92,25,CM,73,66,53
Virgil van Dijk,Virgil van Dijk,82,90,26,GK,82,89,50
Luka Modric,Luka Modric,90,88,27,RW,79,61,52
Toni Kroos,Toni Kroos,89,94,28,CM,82,61,64
Eden Hazard,Eden Hazard,90,93,29,LW,66,64,46
Luis Suárez,Luis Suárez,93,93,30,RW,85,89,80
Manuel Neuer,Manuel Neuer,91,90,31,RW,90,63,77
Harry Kane,Harry Kane,90,93,32,CM,61,94,41
Paulo Dybala,Paulo Dybala,89,94,33,CM,60,73,43
Giorgio Chiellini,Giorgio Chiellini,86,85,34,CM,83,65,48
Karim Benzema,Karim Benzema,88,92,35,LW,66,60,48
Antoine Griezmann,Antoine Griezmann,88,93,36,CM,73,76,74
Marc-André ter Stegen,Marc-André ter Stegen,86,89,37,CM,86,90,51
Player_2018_0,Player 2018 0,46,47,30,LW,71,72,49
Player_2018_1,Player 2018 1,69,78,34,CB,61,82,61
Player_2018_2,Player 2018 2,65,65,30,RW,72,81,46
Player_2018_3,Player 2018 3,78,81,29,GK,40,56,43
Player_2018_4,Player 2018 4,80,82,29,CB,83,87,81
Player_2018_5,Player 2018 5,81,85,30,ST,57,58,69
Player_2018_6,Player 2018 6,52,57,33,RW,77,85,67
Player_2018_7,Player 2018 7,80,87,33,CB,84,57,81
Player_2018_8,Player 2018 8,46,55,32,ST,55,46,36
Player_2018_9,Player 2018 9,46,46,25,LW,61,71,55
Player_2018_10,Player 2018 10,65,66,27,ST,83,51,38
Player_2018_11,Player 2018 11,45,51,27,CB,74,79,45
Player_2018_12,Player 2018 12,67,74,31,CB,52,89,51
Player_2018_13,Player 2018 13,83,85,26,CB,54,47,40
Player_2018_14,Player 2018 14,55,58,23,ST,76,83,43
Player_2018_15,Player 2018 15,80,86,20,GK,78,56,50
Player_2018_16,Player 2018 16,61,65,22,LW,70,43,44
Player_2018_17,Player 2018 17,51,51,30,ST,83,48,59
Player_2018_18,Player 2018 18,62,64,22,CM,77,68,59
Player_2018_19,Player 2018 19,66,68,22,CB,58,77,67
Player_2018_20,Player 2018 20,64,72,20,CM,46,72,48
Player_2018_21,Player 2018 21,80,81,24,RW,69,42,75
Player_2018_22,Player 2018 22,75,82,31,CB,60,45,35
Player_2018_23,Player 2018 23,46,48,23,LW,77,63,69
Player_2018_24,Player 2018 24,62,69,32,CB,85,43,34
Player_2018_25,Player 2018 25,80,80,26,CM,71,56,53
Player_2018_26,Player 2018 26,72,80,24,CB,72,68,48
