short_name,long_name,overall,potential,age,player_positions,pace,shooting,defending
Cristiano Ronaldo,Cristiano Ronaldo,95,93,18,CB,69,82,48
Lionel Messi,Lionel Messi,95,95,19,GK,83,66,79
Neymar Jr,Neymar Jr,83,91,20,LW,66,69,53
Kylian Mbappé,Kylian Mbappé,72,94,21,CB,62,85,45
Kevin De Bruyne,Kevin De Bruyne,82,90,22,RW,73,61,58
Mohamed Salah,Mohamed Salah,79,88,23,CB,75,69,43
Robert Lewandowski,Robert Lewandowski,93,92,24,CM,77,64,50
Sergio Ramos,Sergio Ramos,89,89,25,CM,88,71,60
Virgil van Dijk,Virgil van Dijk,77,88,26,CM,63,60,62
Luka Modric,Luka Modric,89,88,27,CM,85,86,65
Toni Kroos,Toni Kroos,87,91,28,CB,87,73,49
Eden Hazard,Eden Hazard,88,91,29,GK,79,78,78
Luis Suárez,Luis Suárez,92,92,30,CB,90,76,51
Manuel Neuer,Manuel Neuer,92,92,31,ST,76,85,78
Harry Kane,Harry Kane,81,91,32,CB,61,63,44
Paulo Dybala,Paulo Dybala,79,92,33,CM,94,60,76
Giorgio Chiellini,Giorgio Chiellini,85,85,34,RW,94,91,58
Karim Benzema,Karim Benzema,86,90,35,ST,87,62,88
Antoine Griezmann,Antoine Griezmann,83,90,36,LW,72,94,62
Marc-André ter Stegen,Marc-André ter Stegen,81,89,37,RW,94,86,65
Player_2015_0,Player 2015 0,76,79,29,LW,89,63,41
Player_2015_1,Player 2015 1,77,83,32,LW,87,51,33
Player_2015_2,Player 2015 2,71,74,22,GK,57,67,65
Player_2015_3,Player 2015 3,74,82,23,LW,73,75,60
Player_2015_4,Player 2015 4,65,71,30,RW,45,52,40
Player_2015_5,Player 2015 5,80,84,22,CB,40,86,66
Player_2015_6,Player 2015 6,67,72,18,ST,81,65,54
Player_2015_7,Player 2015 7,61,69,29,RW,53,82,42
Player_2015_8,Player 2015 8,48,52,32,ST,77,71,78
Player_2015_9,Player 2015 9,55,55,25,RW,53,62,59
Player_2015_10,Player 2015 10,64,72,34,CB,46,82,54
Player_2015_11,Player 2015 11,52,53,28,GK,44,43,59
Player_2015_12,Player 2015 12,77,80,32,CB,54,74,41
Player_2015_13,Player 2015 13,57,58,24,RW,49,60,45
Player_2015_14,Player 2015 14,65,70,18,CB,46,70,51
Player_2015_15,Player 2015 15,56,57,29,CB,84,67,78
Player_2015_16,Player 2015 16,64,67,21,CB,66,60,46
Player_2015_17,Player 2015 17,66,72,34,CM,55,77,60
Player_2015_18,Player 2015 18,80,84,33,RW,83,84,38
Player_2015_19,Player 2015 19,63,64,23,CM,79,80,53
Player_2015_20,Player 2015 20,57,63,26,CB,49,62,55
Player_2015_21,Player 2015 21,60,67,31,LW,44,70,38
Player_2015_22,Player 2015 22,84,92,25,CB,57,53,56
Player_2015_23,Player 2015 23,76,84,31,LW,51,83,54
Player_2015_24,Player 2015 24,53,55,25,GK,64,52,43
Player_2015_25,Player 2015 25,64,71,30,GK,45,47,79
Player_2015_26,Player 2015 26,48,50,30,RW,44,86,78
Player_2015_27,Player 2015 27,77,77,32,CM,70,78,79
Player_2015_28,Player 2015 28,67,67,23,RW,62,76,80
Player_2015_29,Player 2015 29,74,82,26,ST,83,58,34
Player_2015_30,Player 2015 30,57,59,27,GK,60,44,60
Player_2015_31,Player 2015 31,70,75,26,GK,83,65,55
Player_2015_32,Player 2015 32,69,78,31,LW,46,65,49
