short_name,long_name,overall,potential,age,player_positions,pace,shooting,defending
Cristiano Ronaldo,Cristiano Ronaldo,90,91,18,ST,90,82,84
Lionel Messi,Lionel Messi,94,93,19,GK,89,84,52
Neymar Jr,Neymar Jr,89,95,20,CM,66,93,77
Kylian Mbappé,Kylian Mbappé,89,96,21,CM,86,62,88
Kevin De Bruyne,Kevin De Bruyne,91,93,22,CB,89,65,89
Mohamed Salah,Mohamed Salah,90,94,23,CM,81,66,81
Robert Lewandowski,Robert Lewandowski,91,92,24,CB,70,79,58
Sergio Ramos,Sergio Ramos,91,89,25,GK,71,79,73
Virgil van Dijk,Virgil van Dijk,90,92,26,CB,67,87,84
Luka Modric,Luka Modric,89,88,27,CM,85,67,79
Toni Kroos,Toni Kroos,88,93,28,LW,91,85,67
Eden Hazard,Eden Hazard,88,92,29,CB,92,80,71
Luis Suárez,Luis Suárez,89,90,30,RW,78,66,78
Manuel Neuer,Manuel Neuer,91,92,31,GK,89,86,87
Harry Kane,Harry Kane,89,93,32,CM,85,91,88
Paulo Dybala,Paulo Dybala,89,93,33,ST,89,85,79
Giorgio Chiellini,Giorgio Chiellini,81,81,34,LW,71,79,65
Karim Benzema,Karim Benzema,89,92,35,CM,71,85,64
Antoine Griezmann,Antoine Griezmann,89,93,36,ST,65,92,57
Marc-André ter Stegen,Marc-André ter Stegen,91,90,37,RW,67,64,41
Player_2021_0,Player 2021 0,84,85,33,RW,49,70,68
Player_2021_1,Player 2021 1,51,58,31,CB,44,67,35
Player_2021_2,Player 2021 2,79,82,20,ST,72,63,50
Player_2021_3,Player 2021 3,72,78,32,LW,71,60,50
Player_2021_4,Player 2021 4,52,56,21,RW,83,54,80
Player_2021_5,Player 2021 5,82,91,23,CB,85,47,55
Player_2021_6,Player 2021 6,67,73,25,RW,85,68,64
Player_2021_7,Player 2021 7,61,70,26,CM,50,85,52
Player_2021_8,Player 2021 8,51,54,25,GK,44,65,49
Player_2021_9,Player 2021 9,74,75,28,LW,63,73,75
Player_2021_10,Player 2021 10,72,77,29,ST,80,75,78
Player_2021_11,Player 2021 11,48,51,30,ST,57,47,48
Player_2021_12,Player 2021 12,56,56,20,CM,50,40,47
Player_2021_13,Player 2021 13,83,86,27,GK,67,58,74
Player_2021_14,Player 2021 14,64,67,27,GK,73,56,47
Player_2021_15,Player 2021 15,69,72,18,CM,86,53,47
Player_2021_16,Player 2021 16,49,54,31,GK,88,51,44
Player_2021_17,Player 2021 17,47,53,24,GK,76,43,50
Player_2021_18,Player 2021 18,49,50,32,CB,41,79,56
Player_2021_19,Player 2021 19,55,59,18,LW,58,55,67
Player_2021_20,Player 2021 20,65,69,25,RW,54,48,77
Player_2021_21,Player 2021 21,78,80,23,RW,80,61,49
Player_2021_22,Player 2021 22,61,66,33,CM,85,62,50
Player_2021_23,Player 2021 23,75,83,30,GK,80,43,81
Player_2021_24,Player 2021 24,55,55,20,CM,73,65,83
Player_2021_25,Player 2021 25,68,72,18,LW,66,88,38
Player_2021_26,Player 2021 26,75,83,28,RW,70,78,53
Player_2021_27,Player 2021 27,80,82,27,CM,57,54,31
Player_2021_28,Player 2021 28,58,63,22,GK,82,65,57
Player_2021_29,Player 2021 29,71,71,32,CB,78,88,44
Player_2021_30,Player 2021 30,72,73,25,ST,78,46,33
Player_2021_31,Player 2021 31,65,67,23,CM,79,63,52
Player_2021_32,Player 2021 32,76,83,25,ST,59,83,81
Player_2021_33,Player 2021 33,64,73,28,CM,49,50,41
Player_2021_34,Player 2021 34,60,60,25,RW,72,56,49
Player_2021_35,Player 2021 35,65,69,28,CM,72,65,60
Player_2021_36,Player 2021 36,50,54,28,LW,81,63,71
Player_2021_37,Player 2021 37,67,73,21,RW,68,87,80
Player_2021_38,Player 2021 38,84,89,26,LW,59,42,30
Player_2021_39,Player 2021 39,82,88,28,GK,40,47,82
Player_2021_40,Player 2021 40,53,56,29,ST,75,65,63
Player_2021_41,Player 2021 41,46,46,32,ST,62,44,74
Player_2021_42,Player 2021 42,45,54,30,RW,84,52,43
Player_2021_43,Player 2021 43,50,55,32,CM,58,49,84
Player_2021_44,Player 2021 44,78,82,29,RW,82,88,38
Player_2021_45,Player 2021 45,47,50,18,RW,43,79,80
Player_2021_46,Player 2021 46,82,84,25,ST,68,52,84
Player_2021_47,Player 2021 47,76,83,26,GK,72,45,50
Player_2021_48,Player 2021 48,55,59,30,CB,48,52,78
Player_2021_49,Player 2021 49,66,71,23,LW,42,54,33
Player_2021_50,Player 2021 50,52,57,25,CM,76,57,75
Player_2021_51,Player 2021 51,70,73,31,LW,44,61,60
Player_2021_52,Player 2021 52,79,87,31,CB,87,51,79
Player_2021_53,Player 2021 53,75,77,26,CM,76,54,53
Player_2021_54,Player 2021 54,64,73,26,ST,52,50,67
Player_2021_55,Player 2021 55,52,58,23,CM,55,73,48
Player_2021_56,Player 2021 56,84,93,26,ST,75,75,38
Player_2021_57,Player 2021 57,79,80,34,ST,64,78,53
Player_2021_58,Player 2021 58,56,62,20,ST,47,56,37
Player_2021_59,Player 2021 59,48,55,24,ST,54,65,49
Player_2021_60,Player 2021 60,80,85,20,GK,76,63,60
Player_2021_61,Player 2021 61,56,59,30,CM,53,50,42
Player_2021_62,Player 2021 62,72,79,24,GK,41,53,37
Player_2021_63,Player 2021 63,60,65,32,GK,67,66,68
Player_2021_64,Player 2021 64,51,52,25,LW,53,53,63
Player_2021_65,Player 2021 65,49,51,18,GK,62,54,81
Player_2021_66,Player 2021 66,81,85,18,LW,54,72,32
Player_2021_67,Player 2021 67,60,66,19,CB,79,45,81
Player_2021_68,Player 2021 68,70,79,28,CM,84,85,34
Player_2021_69,Player 2021 69,82,88,19,CM,85,67,49
Player_2021_70,Player 2021 70,47,47,29,ST,85,74,53
Player_2021_71,Player 2021 71,48,54,29,LW,76,78,63
Player_2021_72,Player 2021 72,52,55,21,CM,87,45,68
Player_2021_73,Player 2021 73,79,81,27,CB,46,59,57
Player_2021_74,Player 2021 74,62,69,21,RW,66,60,48
Player_2021_75,Player 2021 75,72,81,33,LW,80,60,77
Player_2021_76,Player 2021 76,70,78,19,GK,77,56,82
Player_2021_77,Player 2021 77,76,82,18,LW,49,86,30
Player_2021_78,Player 2021 78,78,86,22,CB,85,69,84
Player_2021_79,Player 2021 79,49,54,32,LW,77,74,66
Player_2021_80,Player 2021 80,55,55,20,ST,84,78,75
Player_2021_81,Player 2021 81,77,78,20,CB,84,82,30
Player_2021_82,Player 2021 82,66,68,21,RW,75,44,83
Player_2021_83,Player 2021 83,67,73,30,GK,44,88,78
Player_2021_84,Player 2021 84,50,59,25,CM,85,63,39
Player_2021_85,Player 2021 85,74,77,24,ST,72,66,65
Player_2021_86,Player 2021 86,65,70,32,ST,52,81,82
Player_2021_87,Player 2021 87,48,56,18,LW,44,55,73
Player_2021_88,Player 2021 88,58,63,28,LW,86,76,72
Player_2021_89,Player 2021 89,81,86,34,CM,54,89,81
Player_2021_90,Player 2021 90,46,47,18,CB,42,64,58
Player_2021_91,Player 2021 91,49,50,22,RW,82,40,44
Player_2021_92,Player 2021 92,59,61,28,GK,56,79,63
Player_2021_93,Player 2021 93,82,91,27,CB,86,88,39
Player_2021_94,Player 2021 94,45,45,18,RW,76,52,42
Player_2021_95,Player 2021 95,76,84,26,ST,77,84,69
Player_2021_96,Player 2021 96,79,81,33,RW,47,51,62
Player_2021_97,Player 2021 97,53,58,27,RW,58,77,33
