short_name,long_name,overall,potential,age,player_positions,pace,shooting,defending
Cristiano Ronaldo,Cristiano Ronaldo,95,95,18,LW,73,94,51
Lionel Messi,Lionel Messi,93,93,19,RW,71,94,62
Neymar Jr,Neymar Jr,83,93,20,CM,69,93,58
Kylian Mbappé,Kylian Mbappé,73,93,21,CB,68,87,70
Kevin De Bruyne,Kevin De Bruyne,86,92,22,GK,84,80,56
Mohamed Salah,Mohamed Salah,79,90,23,LW,88,87,42
Robert Lewandowski,Robert Lewandowski,93,93,24,RW,92,85,88
Sergio Ramos,Sergio Ramos,91,89,25,GK,89,87,80
Virgil van Dijk,Virgil van Dijk,79,88,26,ST,76,75,74
Luka Modric,Luka Modric,87,87,27,ST,65,65,88
Toni Kroos,Toni Kroos,88,93,28,CM,67,73,57
Eden Hazard,Eden Hazard,91,92,29,CM,75,79,86
Luis Suárez,Luis Suárez,92,91,30,CM,79,80,85
Manuel Neuer,Manuel Neuer,93,91,31,CM,64,90,74
Harry Kane,Harry Kane,85,90,32,CM,69,78,68
Paulo Dybala,Paulo Dybala,84,92,33,CM,84,61,53
Giorgio Chiellini,Giorgio Chiellini,85,86,34,CM,72,62,41
Karim Benzema,Karim Benzema,87,90,35,GK,85,75,70
Antoine Griezmann,Antoine Griezmann,84,90,36,GK,70,86,78
Marc-André ter Stegen,Marc-André ter Stegen,84,88,37,CB,77,82,89
Player_2016_0,Player 2016 0,74,76,27,RW,43,51,75
Player_2016_1,Player 2016 1,76,83,33,CB,52,59,75
Player_2016_2,Player 2016 2,52,61,22,LW,43,89,38
Player_2016_3,Player 2016 3,61,70,24,LW,75,84,58
Player_2016_4,Player 2016 4,56,65,21,LW,68,75,75
Player_2016_5,Player 2016 5,71,80,25,RW,58,87,44
Player_2016_6,Player 2016 6,82,85,33,RW,89,70,47
Player_2016_7,Player 2016 7,60,60,31,LW,72,73,31
Player_2016_8,Player 2016 8,64,66,28,CM,77,48,65
Player_2016_9,Player 2016 9,72,81,19,RW,55,46,76
Player_2016_10,Player 2016 10,64,72,32,LW,54,53,73
Player_2016_11,Player 2016 11,49,49,23,GK,59,86,45
Player_2016_12,Player 2016 12,63,64,34,GK,54,78,36
Player_2016_13,Player 2016 13,57,60,18,CB,64,70,41
Player_2016_14,Player 2016 14,83,92,21,LW,66,66,81
Player_2016_15,Player 2016 15,75,78,21,ST,88,53,57
Player_2016_16,Player 2016 16,82,91,18,CM,74,80,34
Player_2016_17,Player 2016 17,53,60,27,RW,57,67,79
Player_2016_18,Player 2016 18,67,72,24,CB,41,70,49
Player_2016_19,Player 2016 19,52,61,19,GK,62,63,68
Player_2016_20,Player 2016 20,79,88,21,CB,57,86,34
Player_2016_21,Player 2016 21,73,82,29,CB,65,71,42
Player_2016_22,Player 2016 22,74,74,28,RW,79,49,44
Player_2016_23,Player 2016 23,82,87,25,ST,68,68,80
Player_2016_24,Player 2016 24,80,81,23,CB,87,55,38
Player_2016_25,Player 2016 25,66,69,34,GK,84,85,75
Player_2016_26,Player 2016 26,77,84,23,ST,69,45,51
Player_2016_27,Player 2016 27,62,63,20,GK,49,70,32
Player_2016_28,Player 2016 28,68,76,19,LW,83,66,52
Player_2016_29,Player 2016 29,54,58,25,ST,81,83,74
Player_2016_30,Player 2016 30,65,72,22,CM,85,77,32
Player_2016_31,Player 2016 31,72,78,33,CB,86,43,55
Player_2016_32,Player 2016 32,62,65,23,GK,68,63,56
Player_2016_33,Player 2016 33,79,83,33,ST,70,87,69
Player_2016_34,Player 2016 34,54,59,34,GK,46,88,30
Player_2016_35,Player 2016 35,58,58,26,CM,86,74,41
Player_2016_36,Player 2016 36,48,54,20,RW,44,56,32
Player_2016_37,Player 2016 37,83,92,28,LW,62,54,75
Player_2016_38,Player 2016 38,64,66,23,LW,78,61,67
Player_2016_39,Player 2016 39,62,66,31,GK,78,40,48
Player_2016_40,Player 2016 40,57,60,22,CB,61,49,82
Player_2016_41,Player 2016 41,79,84,34,ST,60,83,71
Player_2016_42,Player 2016 42,78,86,22,ST,43,73,82
Player_2016_43,Player 2016 43,79,80,28,GK,82,57,74
Player_2016_44,Player 2016 44,63,65,20,CM,70,83,48
Player_2016_45,Player 2016 45,74,79,19,ST,56,61,63
Player_2016_46,Player 2016 46,56,63,22,RW,41,58,72
Player_2016_47,Player 2016 47,56,60,24,CB,55,81,61
Player_2016_48,Player 2016 48,47,50,21,CB,51,42,32
Player_2016_49,Player 2016 49,83,91,33,CB,89,80,35
Player_2016_50,Player 2016 50,74,80,18,CM,50,44,71
Player_2016_51,Player 2016 51,60,66,33,GK,64,76,39
Player_2016_52,Player 2016 52,62,64,33,CM,56,81,47
Player_2016_53,Player 2016 53,47,49,25,CM,55,66,76
Player_2016_54,Player 2016 54,49,49,18,CB,88,79,42
Player_2016_55,Player 2016 55,84,85,29,CB,57,61,81
Player_2016_56,Player 2016 56,65,67,24,CM,73,49,68
Player_2016_57,Player 2016 57,70,75,23,RW,71,78,36
Player_2016_58,Player 2016 58,72,78,26,GK,82,85,74
Player_2016_59,Player 2016 59,60,67,21,CM,64,67,36
Player_2016_60,Player 2016 60,60,67,26,CB,52,77,38
Player_2016_61,Player 2016 61,57,62,26,RW,77,75,84
Player_2016_62,Player 2016 62,61,65,30,RW,50,83,55
Player_2016_63,Player 2016 63,73,77,28,GK,61,80,51
Player_2016_64,Player 2016 64,53,58,26,CB,55,57,67
Player_2016_65,Player 2016 65,46,52,34,CB,58,80,33
Player_2016_66,Player 2016 66,56,58,20,GK,81,64,77
Player_2016_67,Player 2016 67,59,66,24,GK,49,74,46
Player_2016_68,Player 2016 68,68,70,23,GK,66,66,64
Player_2016_69,Player 2016 69,74,76,18,GK,63,75,61
Player_2016_70,Player 2016 70,59,60,32,ST,74,82,31
Player_2016_71,Player 2016 71,69,73,27,CB,54,47,36
Player_2016_72,Player 2016 72,51,59,27,GK,44,44,84
Player_2016_73,Player 2016 73,45,54,22,LW,58,65,51
Player_2016_74,Player 2016 74,46,48,29,LW,44,82,52
Player_2016_75,Player 2016 75,61,65,23,CB,42,73,50
Player_2016_76,Player 2016 76,64,71,32,GK,80,64,69
Player_2016_77,Player 2016 77,79,84,23,RW,74,46,62
Player_2016_78,Player 2016 78,71,77,26,LW,48,57,36
Player_2016_79,Player 2016 79,59,68,23,LW,69,84,78
Player_2016_80,Player 2016 80,70,72,30,CB,54,44,44
Player_2016_81,Player 2016 81,59,65,23,RW,64,46,52
Player_2016_82,Player 2016 82,50,54,30,ST,52,68,81
Player_2016_83,Player 2016 83,67,69,24,GK,66,77,59
Player_2016_84,Player 2016 84,73,75,29,RW,53,46,74
Player_2016_85,Player 2016 85,63,69,24,LW,43,52,62
Player_2016_86,Player 2016 86,49,57,26,LW,46,82,68
Player_2016_87,Player 2016 87,56,59,19,CM,42,86,49
Player_2016_88,Player 2016 88,63,65,20,RW,56,87,75
Player_2016_89,Player 2016 89,84,91,22,GK,41,51,66
